Company Name,Location,Area,Furnishing,Transaction,Status,Price
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
BHK House for Sale, Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,?1.45 Cr
BHK Apartment for Sale, Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,?85 Lac
Showroom for Sale, Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,?2.50 Cr
Shop for Sale, Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,?37 Lac
BHK Apartment for Sale, Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Classic Tower,1120 sqft,Will be Discussed,Resale,Ready to Move,?1.50 Cr
BHK Apartment for Sale, Mukundapur Kolkata,272 sqft,Will be Discussed,Resale,Ready to Move,?15 Lac
BHK Apartment for Sale, Koyla Vihar Vasundhara,1800 sqft,Will be Discussed,Resale,Ready to Move,?1.35 Cr
BHK Apartment for Sale, Lake Town Kolkata,928 sqft,Will be Discussed,New Sale,Ready to Move,?42 Lac
BHK Apartment for Sale, Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,?2.38 Cr
BHK Apartment for Sale, Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,?32 Lac
BHK Apartment for Sale, Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,?2.25 Cr
BHK Apartment for Sale, Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,?50 Lac
BHK Apartment for Sale, Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,?38 Lac
Office Space for Sale, Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,?45 Lac
Shop for Sale, Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,?55 Lac
BHK Apartment for Sale, Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,?1.25 Cr
BHK House for Sale, Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,?85 Lac
BHK Apartment for Sale, Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,?1.60 Cr
BHK Apartment for Sale, Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,?35 Lac
BHK Builder Floor for Sale, Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,?59 Lac
BHK Apartment for Sale, Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,?51 Lac
BHK Apartment for Sale, Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,?60 Lac
BHK Apartment for Sale, Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,?42 Lac
BHK Apartment for Sale, Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,?75 Lac
BHK Apartment for Sale, Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,?35 Lac
BHK House for Sale, Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,?84 Lac
BHK Apartment for Sale, Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,?30 Lac
BHK House for Sale, Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,?2.80 Cr
